user_id,item_id,user_idx,item_idx
298,474,297,465
253,465,252,456
286,1014,285,984
200,222,199,219
122,387,121,383
291,1042,290,1012
119,392,118,388
167,486,166,477
299,144,298,141
308,1,307,0
38,95,37,94
63,277,62,274
160,234,159,231
301,98,300,97
225,193,224,190
290,88,289,87
157,274,156,271
278,603,277,590
7,32,6,31
10,16,9,15
284,304,283,301
287,327,286,323
246,201,245,198
242,1137,241,1102
249,241,248,238
99,4,98,3
251,100,250,99
260,322,259,318
25,181,24,178
59,196,58,193
87,384,86,380
290,143,289,140
42,423,41,419
292,515,291,506
201,219,200,216
246,919,245,892
138,26,137,25
60,427,59,422
57,304,56,301
223,274,222,271
189,512,188,503
194,165,193,162
178,248,177,245
127,229,126,226
225,237,224,234
225,480,224,471
291,144,290,141
222,366,221,362
267,518,266,509
11,111,10,108
95,625,94,612
8,338,7,334
162,25,161,24
87,1016,86,986
279,154,278,151
119,1153,118,1116
62,498,61,489
28,209,27,206
135,23,134,22
90,382,89,378
286,208,285,205
216,144,215,141
166,328,165,324
250,496,249,487
271,132,270,129
160,174,159,171
265,118,264,115
42,96,41,95
168,151,167,148
110,307,109,304
58,144,57,141
90,648,89,635
271,346,270,342
237,514,236,505
94,789,93,772
298,317,297,313
44,195,43,192
264,200,263,197
72,195,71,192
222,750,221,736
262,1147,261,1111
59,23,58,22
286,379,285,375
244,815,243,797
7,479,6,470
87,274,86,271
13,272,12,269
305,427,304,422
299,955,298,928
269,504,268,495
194,466,193,457
160,135,159,132
10,486,9,477
259,117,258,114
303,919,302,892
213,273,212,270
90,98,89,97
68,117,67,114
172,177,171,174
19,4,18,3
268,231,267,228
44,294,43,291
43,137,42,134
80,466,79,457
254,164,253,161
66,298,65,295
99,79,98,78
13,98,12,97
7,455,6,446
222,755,221,741
200,673,199,660
119,328,118,324
213,172,212,169
130,379,129,375
38,328,37,324
130,216,129,213
256,452,255,443
1,61,0,60
72,48,71,47
13,360,12,356
292,174,291,171
232,483,231,474
181,220,180,217
259,255,258,252
305,471,304,462
161,202,160,199
148,408,147,404
97,228,96,225
58,1098,57,1063
83,234,82,231
90,347,89,343
272,178,271,175
125,478,124,469
299,14,298,13
151,10,150,9
269,127,268,124
6,14,5,13
303,69,302,68
301,790,300,773
87,554,86,544
294,109,293,106
286,171,285,168
200,318,199,314
178,568,177,558
62,65,61,64
92,172,91,169
301,401,300,397
36,339,35,335
279,68,278,67
250,7,249,6
119,237,118,234
295,218,294,215
66,258,65,255
233,202,232,199
83,623,82,610
100,344,99,340
301,56,300,55
307,89,306,88
83,576,82,566
297,133,296,130
38,153,37,150
7,382,6,378
264,813,263,795
85,507,84,498
286,143,285,140
113,595,112,584
292,11,291,10
275,98,274,97
189,520,188,511
218,209,217,206
119,222,118,219
158,177,157,174
222,118,221,115
301,79,300,78
145,237,144,234
23,385,22,381
201,767,200,753
296,705,295,691
16,64,15,63
154,357,153,353
77,484,76,475
296,508,295,499
222,77,221,76
13,215,12,212
16,705,15,691
270,452,269,443
187,64,186,63
200,304,199,301
170,749,169,735
128,204,127,201
1,33,0,32
1,160,0,157
184,321,183,317
94,343,93,339
128,508,127,499
308,1197,307,1155
303,134,302,131
69,256,68,253
254,662,253,649
276,2,275,1
267,410,266,406
13,56,12,55
294,271,293,268
90,1086,89,1053
